text,introduction,education,skills,experience,career_goals
I am pursuing BTech in Computer Science I worked with AI I did internship at Infosys basically,0,1,1,1,0
uh I am studying BCA I know Deep Learning I did internship at Infosys I want to become an AI engineer,0,1,1,1,1
I am studying Mechanical Engineering I have skills in Deep Learning,0,1,1,0,0
uh Myself Neha I know Web Development I want to become an AI engineer,1,0,1,0,1
Hi I am Gurpreet I know Data Structures I worked at TCS My goal is to contribute to AI research basically,1,0,1,1,1
I completed Mechanical Engineering I have skills in Machine Learning you know,0,1,1,0,0
My name is Ananya from Delhi I am pursuing Mechanical Engineering,1,1,0,0,0
Hi I am Priyanshu I am studying Electrical Engineering I know Machine Learning I worked at HCL,1,1,1,1,0
my name is subramanian from mumbai i am studying btech in computer science i did internship at infosys,1,1,0,1,0
Hi I am Atharv you know,1,0,0,0,0
Hi I am  I have skills in Data Structures I did internship at Google India I want to contribute to AI research basically,1,0,1,1,1
Myself Kunal I know AI I want to build scalable systems,1,0,1,0,1
I completed BCA I worked with Machine Learning I want to build scalable systems,0,1,1,0,1
uh I am pursuing BSc IT I know Machine Learning I want to work in a top company,0,1,1,0,1
Myself Manikanta I completed BSc IT I know Deep Learning you know,1,1,1,0,0
i am pursuing bca i know machine learning,0,1,1,0,0
I did internship at Infosys,0,0,0,1,0
myself Yashraj from Delhi I am pursuing BTech in Computer Science I did internship at TCS My goal is to build scalable systems,1,1,0,1,1
Hi I am Sreshth I am pursuing Electrical Engineering I did internship at TCS,1,1,0,1,0
hi i am bhargav i completed electrical engineering i worked with deep learning i want to become an ai engineer,1,1,1,0,1
I am Faizan from Chennai I am studying BTech in Computer Science you know,1,1,0,0,0
Myself Lalita I am studying Electrical Engineering I have skills in Deep Learning I did internship at HCL basically,1,1,1,1,0
Hi I'm Harpreet I completed Electrical Engineering I have skills in Web Development I want to contribute to AI research,1,1,1,0,1
I am pursuing BCA I have skills in Python I worked at Wipro,0,1,1,1,0
Myself Atharv I completed BCA I want to work in a top company,1,1,0,0,1
uh I am Bhargav from Lucknow I completed BTech in Computer Science I did internship at Wipro I want to build scalable systems,1,1,0,1,1
My name is Subramanian from Mumbai I completed BTech in Computer Science I worked with Web Development I worked at Google India I want to become an AI engineer basically,1,1,1,1,1
I am Krishna from Lucknow I have skills in Web Development My goal is to contribute to AI research you know,1,0,1,0,1
My name is Chaitanya from Chennai I have skills in Web Development I did internship at HCL basically,1,0,1,1,0
Myself Kunal I'm studying BTech in Computer Science I worked with Web Development I worked at Wipro I want to work in a top company,1,1,1,1,1
I know Machine Learning I did internship at HCL My goal is to build scalable systems,0,0,1,1,1
I am Devansh from Bangalore I completed Electrical Engineering My goal is to contribute to AI research,1,1,0,0,1
I am pursuing Mechanical Engineering I worked with Web Development I want to become an AI engineer,0,1,1,0,1
hi i am krishna i completed mechanical engineering i worked at hcl,1,1,0,1,0
Hi I am  I have skills in Machine Learning I want to contribute to AI research basically,1,0,1,0,1
i am akash from hyderabad i am pursuing bca i know ai i did internship at infosys,1,1,1,1,0
uh I worked at HCL,0,0,0,1,0
Myself Aadhya I completed BTech in Computer Science I worked at Infosys,1,1,0,1,0
myself sreshth i am studying electrical engineering i have skills in web development i want to become an ai engineer,1,1,1,0,1
Hi I'm Sreshth I'm studying BCA,1,1,0,0,0
hi i am rishi i worked with data structures,1,0,1,0,0
uh Myself Siddharth I am studying Electrical Engineering I did internship at HCL,1,1,0,1,0
myself Akash from Bangalore,1,0,0,0,0
uh My name is Deepak from Hyderabad I have skills in Deep Learning I want to become an AI engineer,1,0,1,0,1
Hi I'm Nikhil I'm studying BTech in Computer Science I know Web Development,1,1,1,0,0
I am Atharv from Delhi I am studying Electrical Engineering I worked at Wipro basically,1,1,0,1,0
Myself Deepak I worked with Data Structures I worked at Infosys you know,1,0,1,1,0
uh I am pursuing BSc IT I know Data Structures I worked at TCS I want to contribute to AI research,0,1,1,1,1
I am Nikhil from Hyderabad I am pursuing Mechanical Engineering I worked with Python I worked at TCS,1,1,1,1,0
Hi I am Vivaan I completed Mechanical Engineering I know Machine Learning I worked at Google India My goal is to work in a top company,1,1,1,1,1
My name is Saanvi from Hyderabad I know Data Structures My goal is to contribute to AI research you know,1,0,1,0,1
My name is Harshit from Hyderabad I am studying Electrical Engineering I know AI I worked at HCL you know,1,1,1,1,0
Myself Sai Teja I am pursuing Mechanical Engineering I know Deep Learning I worked at HCL basically,1,1,1,1,0
I am Tanmay from Delhi I completed BTech in Computer Science I have skills in Python you know,1,1,1,0,0
I am Subramanian from Chennai I am pursuing Mechanical Engineering I worked with AI I want to build scalable systems you know,1,1,1,0,1
I worked with Machine Learning My goal is to contribute to AI research,0,0,1,0,1
My name is Ishaan from Chennai I completed Electrical Engineering I want to become an AI engineer,1,1,0,0,1
my name is manikanta from delhi i am pursuing bca i have skills in python,1,1,1,0,0
uh Myself Manikanta I completed BSc IT I have skills in Data Structures I did internship at HCL,1,1,1,1,0
i am akash from mumbai i worked with data structures i worked at wipro i want to work in a top company,1,0,1,1,1
I am Lalita from Delhi I have skills in Machine Learning I worked at HCL,1,0,1,1,0
my name is siddharth from hyderabad i am studying electrical engineering,1,1,0,0,0
Hi I am Zoya I want to work in a top company,1,0,0,0,1
I completed BTech in Computer Science I worked with Machine Learning I did internship at Wipro My goal is to contribute to AI research,0,1,1,1,1
uh Hi I am Tanmay I completed Mechanical Engineering My goal is to contribute to AI research,1,1,0,0,1
Myself Raghavendra I have skills in Data Structures,1,0,1,0,0
I am Chaitanya from Mumbai I completed BSc IT I did internship at TCS you know,1,1,0,1,0
I'm studying BCA I worked with Deep Learning My goal is to work in a top company,0,1,1,0,1
i am pursuing electrical engineering i did internship at hcl my goal is to build scalable systems,0,1,0,1,1
I have skills in Python I worked at TCS My goal is to become an AI engineer,0,0,1,1,1
I am Krishna from Hyderabad I am pursuing BTech in Computer Science I know Deep Learning I did internship at TCS My goal is to build scalable systems,1,1,1,1,1
uh My name is Akash from Hyderabad I am studying BSc IT I know Data Structures I worked at Infosys I want to contribute to AI research,1,1,1,1,1
hi i am siddharth i am studying electrical engineering my goal is to contribute to ai research,1,1,0,0,1
i am sreshth from chennai i am pursuing mechanical engineering,1,1,0,0,0
my name is harshit from delhi i completed btech in computer science i worked at hcl i want to work in a top company,1,1,0,1,1
My name is Sai Teja from Delhi I'm studying BTech in Computer Science,1,1,0,0,0
Hi I am Ishaan I am studying BCA,1,1,0,0,0
My name is Kunal from Bangalore I am pursuing BSc IT I know Deep Learning I worked at Wipro My goal is to build scalable systems you know,1,1,1,1,1
I am studying BCA I have skills in Web Development I want to work in a top company you know,0,1,1,0,1
Myself Rudra I'm pursuing BCA I want to work in a top company,1,1,0,0,1
I'm pursuing Mechanical Engineering,0,1,0,0,0
I am pursuing Electrical Engineering I worked at Google India My goal is to build scalable systems,0,1,0,1,1
I am studying Electrical Engineering,0,1,0,0,0
uh I have skills in AI I did internship at Google India My goal is to become an AI engineer,0,0,1,1,1
Myself Venkatesh I completed BTech in Computer Science,1,1,0,0,0
I am Krishna from Bangalore I completed BCA I worked at TCS I want to work in a top company basically,1,1,0,1,1
uh Myself Rohit I have skills in Web Development,1,0,1,0,0
My name is Myra from Delhi I worked with Web Development My goal is to build scalable systems,1,0,1,0,1
I am Manikanta from Bangalore I am pursuing BTech in Computer Science I want to build scalable systems you know,1,1,0,0,1
i am lalita from delhi i am pursuing btech in computer science i know data structures,1,1,1,0,0
Myself Manikanta I am pursuing BSc IT you know,1,1,0,0,0
I am Priyanshu from Hyderabad I am studying BTech in Computer Science I know Deep Learning you know,1,1,1,0,0
Hi I am Pooja I am studying Electrical Engineering I worked with Python I did internship at HCL I want to build scalable systems,1,1,1,1,1
Myself Rohit I completed BTech in Computer Science I know Python I want to build scalable systems,1,1,1,0,1
I completed BTech in Computer Science I have skills in Python I want to become an AI engineer,0,1,1,0,1
I am Tanmay from Delhi I completed BSc IT I did internship at TCS I want to become an AI engineer you know,1,1,0,1,1
Myself Myra I am pursuing Mechanical Engineering I have skills in Python I want to become an AI engineer,1,1,1,0,1
I'm Rohit from Hyderabad I completed BTech in Computer Science I know Data Structures My goal is to become an AI engineer,1,1,1,0,1
I am Raghavendra from Bangalore I am studying Mechanical Engineering I know Deep Learning My goal is to build scalable systems you know,1,1,1,0,1
I worked at TCS,0,0,0,1,0
uh My name is Bhargav from Bangalore I did internship at Google India,1,0,0,1,0
uh My name is Lalita from Lucknow I am pursuing BTech in Computer Science,1,1,0,0,0
uh I am pursuing BCA My goal is to work in a top company,0,1,0,0,1
Myself  I am studying BCA I know Web Development,1,1,1,0,0
I know Python I want to build scalable systems,0,0,1,0,1
I am Kunal from Chennai I completed Mechanical Engineering I have skills in Deep Learning you know,1,1,1,0,0
My name is Ayesha from Delhi I did internship at TCS,1,0,0,1,0
Myself Sreshth I completed Mechanical Engineering I have skills in Deep Learning basically,1,1,1,0,0
Hi I am Sreshth I completed Mechanical Engineering I know AI,1,1,1,0,0
Myself Subramanian I am pursuing BCA I know Machine Learning I worked at HCL,1,1,1,1,0
I'm Myra from Mumbai I want to work in a top company,1,0,0,0,1
Hi I am Kabir I did internship at Wipro I want to work in a top company basically,1,0,0,1,1
I am Atharv from Delhi I am pursuing BSc IT I have skills in Data Structures I worked at TCS basically,1,1,1,1,0
Hi I'm Ishaan I'm pursuing BSc IT I worked with Machine Learning I did internship at Google India,1,1,1,1,0
I am Atharv from Chennai I worked with Python I worked at Infosys you know,1,0,1,1,0
Hi I'm Priyanshu I know Data Structures,1,0,1,0,0
I am Zoya from Chennai I am studying BTech in Computer Science I worked with Machine Learning I want to work in a top company,1,1,1,0,1
I'm Aadhya from Lucknow I'm studying BTech in Computer Science I worked with Python I worked at HCL,1,1,1,1,0
uh Myself  I completed BCA I worked at Wipro,1,1,0,1,0
Hi I am Priyanshu you know,1,0,0,0,0
Myself Pooja I worked with Deep Learning basically,1,0,1,0,0
I am pursuing Electrical Engineering I know Web Development My goal is to contribute to AI research,0,1,1,0,1
i am kunal from mumbai i am pursuing mechanical engineering i did internship at tcs my goal is to contribute to ai research,1,1,0,1,1
I am Vivaan from Mumbai I completed Mechanical Engineering I have skills in Data Structures I worked at TCS you know,1,1,1,1,0
I am pursuing Electrical Engineering I worked at Wipro My goal is to contribute to AI research you know,0,1,0,1,1
Hi I am Tanmay I am pursuing BTech in Computer Science I have skills in Machine Learning I want to contribute to AI research,1,1,1,0,1
Hi I am Deepak I completed BTech in Computer Science I have skills in Web Development I want to work in a top company,1,1,1,0,1
i am studying mechanical engineering i worked with ai my goal is to become an ai engineer,0,1,1,0,1
I am  from Mumbai I worked at TCS My goal is to build scalable systems basically,1,0,0,1,1
I'm studying Mechanical Engineering I worked at HCL,0,1,0,1,0
i am atharv from bangalore i am studying bsc it i worked with machine learning i did internship at hcl,1,1,1,1,0
I am Venkatesh from Chennai,1,0,0,0,0
I am studying BTech in Computer Science I did internship at Wipro I want to build scalable systems basically,0,1,0,1,1
Hi I am Pooja I know Machine Learning basically,1,0,1,0,0
Hi I'm Diya I'm studying Electrical Engineering I worked at Infosys My goal is to become an AI engineer,1,1,0,1,1
I am Chaitanya from Bangalore I worked with Data Structures I worked at HCL,1,0,1,1,0
Myself Sai Teja I have skills in Deep Learning I want to become an AI engineer you know,1,0,1,0,1
myself bhargav i am pursuing btech in computer science i worked at google india,1,1,0,1,0
I am studying Electrical Engineering I know Deep Learning I did internship at HCL you know,0,1,1,1,0
i know data structures i worked at google india my goal is to build scalable systems,0,0,1,1,1
uh I am Harshit from Mumbai I am studying BCA,1,1,0,0,0
Hi I am Somanshu I am studying BSc IT I have skills in Web Development you know,1,1,1,0,0
uh I am pursuing Electrical Engineering I have skills in Python,0,1,1,0,0
My name is Rehan from Hyderabad I have skills in Machine Learning I want to contribute to AI research basically,1,0,1,0,1
My name is Nikhil from Delhi I completed BTech in Computer Science I worked at Google India My goal is to build scalable systems you know,1,1,0,1,1
i worked with ai i want to become an ai engineer,0,0,1,0,1
I am pursuing BCA you know,0,1,0,0,0
I am Rehan from Mumbai I have skills in Machine Learning I worked at TCS you know,1,0,1,1,0
Myself Diya I completed Mechanical Engineering I know Machine Learning I want to contribute to AI research,1,1,1,0,1
I am studying Mechanical Engineering basically,0,1,0,0,0
myself Siddharth from Delhi I am pursuing Mechanical Engineering,1,1,0,0,0
I have skills in AI I worked at Google India you know,0,0,1,1,0
I am pursuing BSc IT I want to work in a top company,0,1,0,0,1
Hi I am Rishi I know Python I worked at Wipro I want to work in a top company you know,1,0,1,1,1
uh Myself Kabir I completed BTech in Computer Science I did internship at HCL I want to build scalable systems,1,1,0,1,1
Myself Yashraj I am pursuing BTech in Computer Science I worked at HCL you know,1,1,0,1,0
uh Myself Rehan I am pursuing Mechanical Engineering I know AI I did internship at TCS,1,1,1,1,0
I completed BCA I worked with Web Development I worked at HCL,0,1,1,1,0
I completed BCA I worked with Data Structures I did internship at TCS,0,1,1,1,0
myself harshit i completed btech in computer science i worked with deep learning,1,1,1,0,0
Myself Venkatesh I worked with Python,1,0,1,0,0
Myself Zoya I worked at Google India,1,0,0,1,0
I am Lalita from Delhi I completed BCA I have skills in Python I did internship at HCL,1,1,1,1,0
My name is Rehan from Lucknow I worked at TCS basically,1,0,0,1,0
my name is yashraj from delhi i am pursuing bca i know python,1,1,1,0,0
My name is Nikhil from Bangalore I'm studying BTech in Computer Science I have skills in AI I want to become an AI engineer,1,1,1,0,1
I am studying BTech in Computer Science I have skills in Machine Learning My goal is to become an AI engineer,0,1,1,0,1
Myself Sai Teja I am studying BCA I have skills in Data Structures I worked at Wipro I want to work in a top company basically,1,1,1,1,1
Myself Bhargav I completed Electrical Engineering I did internship at HCL I want to contribute to AI research,1,1,0,1,1
My name is Aadhya from Chennai I know Python My goal is to build scalable systems you know,1,0,1,0,1
My name is Krishna from Mumbai I am studying BTech in Computer Science I have skills in AI My goal is to work in a top company you know,1,1,1,0,1
Myself Shivansh I'm pursuing BCA I know Data Structures,1,1,1,0,0
Myself Neha I am pursuing Mechanical Engineering,1,1,0,0,0
Myself Rudra I completed BTech in Computer Science basically,1,1,0,0,0
Myself Rudra I want to contribute to AI research you know,1,0,0,0,1
Hi I am Tanmay I am studying BSc IT I know Data Structures I want to contribute to AI research,1,1,1,0,1
I am studying Electrical Engineering I want to contribute to AI research you know,0,1,0,0,1
I completed BCA I worked with Deep Learning My goal is to become an AI engineer,0,1,1,0,1
Myself Harshit I completed BTech in Computer Science My goal is to become an AI engineer,1,1,0,0,1
i am harshit from lucknow i am studying btech in computer science i worked at google india,1,1,0,1,0
My goal is to work in a top company you know,0,0,0,0,1
I am pursuing BCA I know Python I worked at Infosys I want to work in a top company,0,1,1,1,1
i am pursuing electrical engineering i have skills in web development i worked at infosys i want to work in a top company,0,1,1,1,1
i completed bsc it i know deep learning,0,1,1,0,0
My name is Neha from Chennai I am studying BCA I know Deep Learning I worked at Infosys,1,1,1,1,0
Hi I am Zoya I am pursuing BCA I did internship at HCL,1,1,0,1,0
my name is gurpreet from chennai i have skills in data structures i did internship at infosys my goal is to contribute to ai research,1,0,1,1,1
Myself  I am studying Mechanical Engineering I know Deep Learning you know,1,1,1,0,0
My name is Nikhil from Bangalore I am studying BTech in Computer Science I worked at Infosys My goal is to work in a top company you know,1,1,0,1,1
uh My name is Siddharth from Delhi I completed BCA I have skills in Deep Learning,1,1,1,0,0
Hi I am Somanshu I am pursuing BTech in Computer Science I worked with Machine Learning basically,1,1,1,0,0
I am Gurpreet from Bangalore I worked at Wipro I want to contribute to AI research,1,0,0,1,1
I completed Mechanical Engineering I have skills in Machine Learning I want to contribute to AI research,0,1,1,0,1
My name is Pooja from Delhi I completed BCA I know Deep Learning basically,1,1,1,0,0
my goal is to build scalable systems,0,0,0,0,1
I am Harshit from Lucknow I completed Electrical Engineering My goal is to contribute to AI research you know,1,1,0,0,1
uh I am Vivaan from Lucknow I worked with Deep Learning,1,0,1,0,0
Hi I am Raghavendra I completed BCA I have skills in Machine Learning you know,1,1,1,0,0
hi i am siddharth i am pursuing bca i did internship at tcs,1,1,0,1,0
I completed BTech in Computer Science I want to become an AI engineer you know,0,1,0,0,1
i am pursuing bsc it i worked with ai my goal is to work in a top company,0,1,1,0,1
Myself Somanshu I am studying BTech in Computer Science I have skills in Data Structures I worked at Wipro you know,1,1,1,1,0
I am pursuing BCA I worked with Deep Learning I worked at HCL,0,1,1,1,0
uh I completed BTech in Computer Science,0,1,0,0,0
I am studying BCA I worked at Wipro you know,0,1,0,1,0
Hi I am Harshit I am studying BSc IT My goal is to work in a top company basically,1,1,0,0,1
I am studying Electrical Engineering I worked with Deep Learning,0,1,1,0,0
I am Tanmay from Chennai I am pursuing BTech in Computer Science I know Web Development I want to become an AI engineer,1,1,1,0,1
My name is Chaitanya from Delhi I completed BTech in Computer Science I worked with AI,1,1,1,0,0
uh Hi I am Myra I completed BTech in Computer Science I did internship at Wipro I want to work in a top company,1,1,0,1,1
I'm Siddharth from Mumbai I'm pursuing BSc IT I have skills in Deep Learning I worked at Wipro My goal is to contribute to AI research,1,1,1,1,1
Myself Manikanta I completed Mechanical Engineering I know Web Development,1,1,1,0,0
I am Tanmay from Chennai I worked with Web Development I did internship at Wipro I want to contribute to AI research,1,0,1,1,1
I completed BTech in Computer Science I did internship at Wipro,0,1,0,1,0
hi i am rehan i worked with python i worked at google india i want to contribute to ai research,1,0,1,1,1
Hi I am Gurpreet I am pursuing BTech in Computer Science I worked with Deep Learning basically,1,1,1,0,0
I am studying BSc IT I have skills in Machine Learning I did internship at Wipro basically,0,1,1,1,0
uh I am Myra from Bangalore I want to contribute to AI research,1,0,0,0,1
uh I am  from Hyderabad I am pursuing BCA,1,1,0,0,0
uh Hi I am Atharv I completed BTech in Computer Science I worked with AI I want to work in a top company,1,1,1,0,1
My name is Aadhya from Chennai I am pursuing BSc IT I worked with Web Development I worked at Google India I want to contribute to AI research basically,1,1,1,1,1
I have skills in Deep Learning My goal is to build scalable systems,0,0,1,0,1
uh I am Aditya from Delhi I did internship at Google India,1,0,0,1,0
Myself  I am studying BCA basically,1,1,0,0,0
I know Python I did internship at TCS My goal is to contribute to AI research,0,0,1,1,1
I have skills in Python I worked at TCS My goal is to work in a top company,0,0,1,1,1
Myself Kunal I have skills in Deep Learning,1,0,1,0,0
uh My name is Jasleen from Delhi I am pursuing BTech in Computer Science I worked with Web Development My goal is to become an AI engineer,1,1,1,0,1
I completed Electrical Engineering I know Web Development I did internship at HCL I want to build scalable systems,0,1,1,1,1
i am pursuing bca i did internship at tcs,0,1,0,1,0
i am zoya from chennai i am pursuing btech in computer science i worked at google india my goal is to contribute to ai research,1,1,0,1,1
I am pursuing BCA My goal is to build scalable systems,0,1,0,0,1
uh I am Ayesha from Lucknow I know AI I want to contribute to AI research,1,0,1,0,1
myself nikhil i am pursuing bca i want to become an ai engineer,1,1,0,0,1
I am Lalita from Bangalore I completed BSc IT,1,1,0,0,0
I have skills in Machine Learning I worked at Wipro I want to build scalable systems,0,0,1,1,1
uh I am Diya from Delhi I am pursuing BTech in Computer Science I have skills in Deep Learning My goal is to work in a top company,1,1,1,0,1
My name is Devansh from Chennai I'm studying BCA I have skills in Web Development I worked at Infosys,1,1,1,1,0
I am Gurpreet from Chennai I am pursuing BSc IT I know AI I did internship at Infosys My goal is to become an AI engineer,1,1,1,1,1
I am pursuing Electrical Engineering My goal is to contribute to AI research,0,1,0,0,1
uh I am Devansh from Chennai I am pursuing BCA I have skills in Machine Learning My goal is to work in a top company,1,1,1,0,1
My name is Aditya from Lucknow I am pursuing BCA I have skills in Machine Learning I did internship at Google India My goal is to work in a top company,1,1,1,1,1
i am pursuing btech in computer science i know machine learning i did internship at google india,0,1,1,1,0
My name is Saanvi from Bangalore I'm pursuing Mechanical Engineering,1,1,0,0,0
myself tanmay i have skills in python i worked at wipro,1,0,1,1,0
i am aditya from bangalore i know web development i did internship at tcs,1,0,1,1,0
Myself Myra I'm pursuing BCA My goal is to work in a top company,1,1,0,0,1
Hi I am Priyanshu I completed Mechanical Engineering I have skills in Web Development you know,1,1,1,0,0
I completed BSc IT I have skills in Web Development I want to contribute to AI research basically,0,1,1,0,1
My name is Rohit from Lucknow I completed Mechanical Engineering I worked with Machine Learning I want to work in a top company you know,1,1,1,0,1
I am Zoya from Chennai I am studying Mechanical Engineering I worked with Deep Learning My goal is to build scalable systems you know,1,1,1,0,1
I know Deep Learning I want to work in a top company,0,0,1,0,1
i am aditya from hyderabad i know machine learning i want to build scalable systems,1,0,1,0,1
Hi I am Raghavendra I know Python I worked at TCS,1,0,1,1,0
I know AI My goal is to become an AI engineer you know,0,0,1,0,1
hi i am sreshth i want to build scalable systems,1,0,0,0,1
My name is Jasleen from Hyderabad I am studying Electrical Engineering I have skills in Machine Learning I worked at HCL you know,1,1,1,1,0
My name is Ayesha from Mumbai I am pursuing Mechanical Engineering I worked with Web Development I want to work in a top company basically,1,1,1,0,1
My name is Ishaan from Delhi I know Python,1,0,1,0,0
hi i am rishi i completed bsc it i worked with ai,1,1,1,0,0
I'm Diya from Bangalore I completed Mechanical Engineering I worked at Google India My goal is to work in a top company,1,1,0,1,1
I worked with Web Development I worked at TCS basically,0,0,1,1,0
Myself Zoya I am studying BTech in Computer Science I know Deep Learning I did internship at Infosys,1,1,1,1,0
I am Venkatesh from Bangalore I am studying BSc IT My goal is to contribute to AI research,1,1,0,0,1
Hi I am Subramanian I have skills in Machine Learning I worked at Infosys I want to contribute to AI research,1,0,1,1,1
Hi I am Kabir I completed BCA I know Data Structures,1,1,1,0,0
I am Saanvi from Chennai I worked with Deep Learning My goal is to become an AI engineer you know,1,0,1,0,1
I am Rishi from Chennai,1,0,0,0,0
My name is Aditya from Chennai I'm studying BTech in Computer Science I know Data Structures I worked at Infosys I want to work in a top company,1,1,1,1,1
I know Web Development My goal is to become an AI engineer,0,0,1,0,1
Myself Priyanshu I completed BTech in Computer Science I want to build scalable systems basically,1,1,0,0,1
I worked with Web Development My goal is to become an AI engineer,0,0,1,0,1
Myself Chaitanya I completed BCA I worked at TCS you know,1,1,0,1,0
uh Hi I am Vivaan I am pursuing Electrical Engineering I have skills in Web Development My goal is to work in a top company,1,1,1,0,1
Hi I am Krishna basically,1,0,0,0,0
Myself Ayesha I am pursuing Mechanical Engineering I have skills in Machine Learning I did internship at TCS I want to contribute to AI research you know,1,1,1,1,1
i worked with data structures,0,0,1,0,0
I am Krishna from Bangalore I completed Electrical Engineering I have skills in Web Development I did internship at Google India I want to build scalable systems you know,1,1,1,1,1
i am studying btech in computer science i know data structures my goal is to work in a top company,0,1,1,0,1
Hi I am Kabir I am studying Mechanical Engineering,1,1,0,0,0
Hi I am Diya I am pursuing BTech in Computer Science I did internship at HCL basically,1,1,0,1,0
I am Sreshth from Hyderabad I worked with Machine Learning I did internship at Google India My goal is to become an AI engineer you know,1,0,1,1,1
Myself Manikanta I completed BCA I have skills in Data Structures My goal is to work in a top company,1,1,1,0,1
I am Rishi from Delhi I am pursuing Mechanical Engineering I worked at Google India,1,1,0,1,0
I have skills in AI I worked at Infosys,0,0,1,1,0
Myself Venkatesh I know AI,1,0,1,0,0
uh I am Aditya from Mumbai I am studying BCA I know Python I want to become an AI engineer,1,1,1,0,1
Hi I am Kabir,1,0,0,0,0
I'm studying BCA I have skills in AI I did internship at TCS I want to become an AI engineer,0,1,1,1,1
Myself Pooja I am pursuing Mechanical Engineering,1,1,0,0,0
I am Aarav from Mumbai I am pursuing BSc IT I have skills in Python My goal is to build scalable systems,1,1,1,0,1
I am Krishna from Lucknow I worked with Machine Learning I want to contribute to AI research,1,0,1,0,1
my name is myra from delhi i completed bca i did internship at hcl my goal is to work in a top company,1,1,0,1,1
I have skills in Data Structures you know,0,0,1,0,0
Myself Subramanian I completed BSc IT I know Data Structures I want to build scalable systems you know,1,1,1,0,1
Hi I am Ananya,1,0,0,0,0
Hi I am  I worked with AI,1,0,1,0,0
uh Hi I am Ayesha I am pursuing BSc IT I did internship at HCL,1,1,0,1,0
i am pursuing mechanical engineering i have skills in ai i want to contribute to ai research,0,1,1,0,1
Hi I'm  I have skills in AI I did internship at TCS My goal is to work in a top company,1,0,1,1,1
uh Hi I am Atharv I am pursuing BTech in Computer Science I worked with Machine Learning I worked at Google India,1,1,1,1,0
Myself Myra I am studying BCA I have skills in Machine Learning I worked at HCL,1,1,1,1,0
I am Myra from Chennai I am studying Electrical Engineering I did internship at Infosys,1,1,0,1,0
Myself Somanshu I have skills in Machine Learning I worked at Infosys My goal is to contribute to AI research you know,1,0,1,1,1
My name is Rishi from Mumbai I know Data Structures My goal is to work in a top company,1,0,1,0,1
My name is Rishi from Hyderabad I am studying BSc IT I worked with Python I did internship at TCS I want to contribute to AI research you know,1,1,1,1,1
Hi I am Deepak I am pursuing Mechanical Engineering I worked at TCS My goal is to build scalable systems basically,1,1,0,1,1
uh I am Subramanian from Bangalore I am pursuing BCA,1,1,0,0,0
Hi I am Ananya I completed Electrical Engineering I worked with Data Structures you know,1,1,1,0,0
uh I am Subramanian from Hyderabad I completed BCA I worked at TCS My goal is to work in a top company,1,1,0,1,1
uh I am Diya from Mumbai I am studying BCA I worked with Web Development I worked at TCS I want to work in a top company,1,1,1,1,1
hi i am yashraj i am pursuing bsc it i worked with machine learning my goal is to build scalable systems,1,1,1,0,1
